116	126	104	76	44
114	126	104	74	45
118	125	105	78	40
113	124	103	73	42
114	124	104	75	39
113	126	104	72	45
148	112	47	100	174
150	111	44	100	178
138	118	71	98	123
136	118	70	98	122
136	117	64	98	134
136	118	64	97	135
138	111	50	99	161
149	116	48	99	172
150	115	49	100	171
147	119	55	99	159
149	119	64	100	145
140	113	54	99	156
137	111	51	99	160
153	113	44	101	180
153	113	42	100	184
153	115	50	101	171
153	115	47	100	176
152	116	52	100	167
153	116	49	100	171
156	106	34	102	199
162	107	37	103	196
161	110	40	102	190
163	111	38	102	194
159	104	35	103	198
158	105	35	103	198
155	107	34	101	198
156	108	34	101	198
152	116	48	100	174
151	115	51	100	168
154	105	33	102	199
156	105	35	102	197
